"Stock","Lag","autocorr_level","autocorr_log","autocorr_ar_level","autocorr_ar_log"
"MRK",27,0.0295832498402445,0.424983793861545,2.93400850352369e-33,4.67759684986622e-05
"MRK",28,0.0360274145604296,0.429681647017223,1.83042749187657e-34,3.23335404880436e-05
"MRK",29,0.0337014271644121,0.426484344167567,1.14194106765325e-35,2.23503194919814e-05
"MRK",30,0.0312446867501557,0.420843713251959,7.12417950331448e-37,1.54494921945947e-05
"MRK",31,0.0275305713892267,0.421693140724104,4.44453177428397e-38,1.06793466266322e-05
"MRK",32,0.0238862782545468,0.423839540609046,2.77279126437359e-39,7.38201896445908e-06
"MRK",33,0.0204334777365087,0.418830758726784,1.72984957386768e-40,5.10276573060524e-06
"MRK",34,0.0182265528819712,0.404177017984714,1.07919394678496e-41,3.52724887687242e-06
"MRK",35,0.018489241804999,0.406837118644445,6.73272169078438e-43,2.43818456426023e-06
"MRK",36,0.020849236054984,0.404126874636026,4.20031464229392e-44,1.68537695436677e-06
"MRK",37,0.0181148922031056,0.394954927784269,2.6204325538092e-45,1.16500429046578e-06
"MRK",38,0.0225096622190374,0.396160104720189,1.63479818866924e-46,8.0530055504029e-07
"MRK",39,0.0183850286220366,0.385169742552323,1.01989464059712e-47,5.56658021996571e-07
"MRK",40,0.0180238709225001,0.387477655148625,6.36277361406589e-49,3.84785719460521e-07
"MRK",41,0.0224348300367712,0.384011804789751,3.9695166983278e-50,2.65980268046264e-07
"MRK",42,0.0187295547516785,0.385318122298428,2.4764456153948e-51,1.83856882966315e-07
"MRK",43,0.0178260796406276,0.384461048207165,1.54496966559976e-52,1.27089703542255e-07
"MRK",44,0.0286908100324489,0.379011772318731,9.63853699344369e-54,8.78498127775697e-08
"MRK",45,0.0167756425199455,0.368916819654773,6.01315336103497e-55,6.07255299992739e-08
"MRK",46,0.015665939355173,0.36634498738294,3.75140058786116e-56,4.19760711730766e-08
"MRK",47,0.0177973434850134,0.378221632946342,2.34037043887782e-57,2.90156471445907e-08
"MRK",48,0.0159595271560596,0.377034062066418,1.46007702000602e-58,2.005685038383e-08
"MRK",49,0.0173893484408935,0.373894811699313,9.10892083123321e-60,1.38641487234358e-08
"MRK",50,0.0140171390083879,0.37008791868594,5.68274396300904e-61,9.58348973777614e-09
"MRK",51,0.0137292046575131,0.373888200350657,3.54526947236006e-62,6.62451603673364e-09
"MRK",52,0.0142132320021376,0.362476054498301,2.21177229054551e-63,4.5791474631583e-09
"MRK",53,0.0151605857982712,0.364024929401106,1.37984903640298e-64,3.1653016421239e-09
"MRK",54,0.0154228902062987,0.362501728730392,8.60840589874934e-66,2.18799122898783e-09
"MRK",55,0.0222119181124348,0.363925541806854,5.3704898262494e-67,1.51243267131894e-09
"MRK",56,0.0168350947388607,0.372868074720192,3.35046480301755e-68,1.04545784049196e-09
"MRK",57,0.0361421815322339,0.373224600372113,2.09024032433539e-69,7.2266496021469e-10
"MRK",58,0.0249110353395881,0.368785848543401,1.30402940199304e-70,4.99536781393642e-10
"MRK",59,0.019490017405704,0.364015569268325,8.13539314816832e-72,3.45301086538064e-10
"MRK",60,0.0154726103603882,0.368238888573846,5.07539335954462e-73,2.38686809070843e-10
"MRK",61,0.0157343705360777,0.363669254352334,3.16636421681838e-74,1.64990482351526e-10
"MRK",62,0.0180580503528029,0.36413316333467,1.97538626926198e-75,1.14048444371761e-10
"MRK",63,0.0195194008063625,0.363315278014729,1.23237588779654e-76,7.88351393258311e-11
"MRK",64,0.0166213647900469,0.379100237209653,7.68837139578649e-78,5.44942039916335e-11
"MRK",65,0.0242660095641794,0.362463317596076,4.79651178710069e-79,3.76687133945197e-11
"MRK",66,0.0197072976461345,0.363088311754366,2.9923795482102e-80,2.60382181014392e-11
"MRK",67,0.0271721441962755,0.363451819249831,1.86684318896655e-81,1.79987246922204e-11
"MRK",68,0.0196151843225954,0.348532410612709,1.16465957477731e-82,1.24414846393978e-11
"MRK",69,0.017428527769287,0.347090956341853,7.26591249408232e-84,8.60008376589457e-12
"MRK",70,0.0205989576342602,0.349186568958479,4.53295413655584e-85,5.94474396939684e-12
"MRK",71,0.0203267789292902,0.350313068283104,2.82795495002915e-86,4.10926007509697e-12
"MRK",72,0.018338268705635,0.353539703646831,1.76426430942687e-87,2.8404954783106e-12
"MRK",73,0.0158035650575085,0.353412660826742,1.10066412249084e-88,1.96347138288943e-12
"MRK",74,0.0143202311984864,0.346233549723119,6.86666676906299e-90,1.35723499680367e-12
"MRK",75,0.0139229609866987,0.336566984824482,4.28387839249719e-91,9.3817860173641e-13
"MRK",76,0.0141678197491541,0.329895957299468,2.67256511767624e-92,6.48508983948199e-13
"MRK",77,0.0156289516255794,0.337797191847109,1.66732191108165e-93,4.48277014081469e-13
"MRK",78,0.0196437096134559,0.330863815594046,1.04018507791874e-94,3.09868153453135e-13
"MRK",79,0.0348057539649869,0.324893634427191,6.4893587083186e-96,2.14194057487421e-13
"MRK",80,0.0151543478872918,0.3174872163425,4.04848880638531e-97,1.48060049900751e-13
"MRK",81,0.0151217850168996,0.320876249187421,2.52571361087141e-98,1.02345408802484e-13
"MRK",82,0.0161459243398739,0.314119279742528,1.57570628183032e-99,7.07455029899624e-14
"MRK",83,0.0283639935744152,0.315186826319787,9.83029222281034e-101,4.89023030135311e-14
"MRK",84,0.0122958385155681,0.301320407358661,6.13278288600815e-102,3.38033534140893e-14
"MRK",85,0.0126904638423666,0.28874617015347,3.8260333542925e-103,2.33663167503921e-14
